rank,median_tg_tokens_per_sec,median_pp_tokens_per_sec,median_ttft_ms,success_count,failed_count,config_key
11,42.115,289.48,,3,0,"[[""flash_attention"",false],[""kv_type_key"",""f16""],[""kv_type_value"",""f16""],[""mlock"",false],[""mmap"",true],[""n_batch"",256],[""n_ctx"",4096],[""n_gpu_layers"",99],[""n_ubatch"",64],[""threads"",8],[""threads_batch"",6]]"
12,,,,0,3,"[[""flash_attention"",true],[""kv_type_key"",""f16""],[""kv_type_value"",""f16""],[""mlock"",false],[""mmap"",true],[""n_batch"",512],[""n_ctx"",4096],[""n_gpu_layers"",99],[""n_ubatch"",128],[""threads"",8],[""threads_batch"",8]]"
13,,,,0,3,"[[""flash_attention"",true],[""kv_type_key"",""f16""],[""kv_type_value"",""f16""],[""mlock"",false],[""mmap"",true],[""n_batch"",512],[""n_ctx"",2048],[""n_gpu_layers"",99],[""n_ubatch"",128],[""threads"",8],[""threads_batch"",8]]"
14,,,,0,3,"[[""flash_attention"",true],[""kv_type_key"",""f16""],[""kv_type_value"",""f16""],[""mlock"",false],[""mmap"",true],[""n_batch"",512],[""n_ctx"",8192],[""n_gpu_layers"",99],[""n_ubatch"",128],[""threads"",8],[""threads_batch"",8]]"
15,,,,0,3,"[[""flash_attention"",true],[""kv_type_key"",""f16""],[""kv_type_value"",""f16""],[""mlock"",false],[""mmap"",true],[""n_batch"",512],[""n_ctx"",16384],[""n_gpu_layers"",99],[""n_ubatch"",128],[""threads"",8],[""threads_batch"",8]]"
16,,,,0,3,"[[""flash_attention"",true],[""kv_type_key"",""f16""],[""kv_type_value"",""f16""],[""mlock"",false],[""mmap"",true],[""n_batch"",512],[""n_ctx"",32768],[""n_gpu_layers"",99],[""n_ubatch"",128],[""threads"",8],[""threads_batch"",8]]"
17,,,,0,3,"[[""flash_attention"",true],[""kv_type_key"",""f16""],[""kv_type_value"",""f16""],[""mlock"",false],[""mmap"",true],[""n_batch"",128],[""n_ctx"",4096],[""n_gpu_layers"",99],[""n_ubatch"",128],[""threads"",8],[""threads_batch"",8]]"
18,,,,0,3,"[[""flash_attention"",true],[""kv_type_key"",""f16""],[""kv_type_value"",""f16""],[""mlock"",false],[""mmap"",true],[""n_batch"",256],[""n_ctx"",4096],[""n_gpu_layers"",99],[""n_ubatch"",128],[""threads"",8],[""threads_batch"",8]]"
19,,,,0,3,"[[""flash_attention"",true],[""kv_type_key"",""f16""],[""kv_type_value"",""f16""],[""mlock"",false],[""mmap"",true],[""n_batch"",1024],[""n_ctx"",4096],[""n_gpu_layers"",99],[""n_ubatch"",128],[""threads"",8],[""threads_batch"",8]]"
20,,,,0,3,"[[""flash_attention"",true],[""kv_type_key"",""f16""],[""kv_type_value"",""f16""],[""mlock"",false],[""mmap"",true],[""n_batch"",512],[""n_ctx"",4096],[""n_gpu_layers"",16],[""n_ubatch"",128],[""threads"",8],[""threads_batch"",8]]"
21,,,,0,3,"[[""flash_attention"",true],[""kv_type_key"",""f16""],[""kv_type_value"",""f16""],[""mlock"",false],[""mmap"",true],[""n_batch"",512],[""n_ctx"",4096],[""n_gpu_layers"",24],[""n_ubatch"",128],[""threads"",8],[""threads_batch"",8]]"
22,,,,0,3,"[[""flash_attention"",true],[""kv_type_key"",""f16""],[""kv_type_value"",""f16""],[""mlock"",false],[""mmap"",true],[""n_batch"",512],[""n_ctx"",4096],[""n_gpu_layers"",28],[""n_ubatch"",128],[""threads"",8],[""threads_batch"",8]]"
23,,,,0,3,"[[""flash_attention"",true],[""kv_type_key"",""f16""],[""kv_type_value"",""f16""],[""mlock"",false],[""mmap"",true],[""n_batch"",512],[""n_ctx"",4096],[""n_gpu_layers"",32],[""n_ubatch"",128],[""threads"",8],[""threads_batch"",8]]"
24,,,,0,3,"[[""flash_attention"",true],[""kv_type_key"",""f16""],[""kv_type_value"",""f16""],[""mlock"",false],[""mmap"",true],[""n_batch"",512],[""n_ctx"",4096],[""n_gpu_layers"",99],[""n_ubatch"",128],[""threads"",4],[""threads_batch"",8]]"
25,,,,0,3,"[[""flash_attention"",true],[""kv_type_key"",""f16""],[""kv_type_value"",""f16""],[""mlock"",false],[""mmap"",true],[""n_batch"",512],[""n_ctx"",4096],[""n_gpu_layers"",99],[""n_ubatch"",128],[""threads"",6],[""threads_batch"",8]]"
26,,,,0,3,"[[""flash_attention"",true],[""kv_type_key"",""f16""],[""kv_type_value"",""f16""],[""mlock"",false],[""mmap"",true],[""n_batch"",512],[""n_ctx"",4096],[""n_gpu_layers"",99],[""n_ubatch"",128],[""threads"",10],[""threads_batch"",8]]"
27,,,,0,3,"[[""flash_attention"",true],[""kv_type_key"",""f16""],[""kv_type_value"",""f16""],[""mlock"",false],[""mmap"",true],[""n_batch"",512],[""n_ctx"",4096],[""n_gpu_layers"",99],[""n_ubatch"",128],[""threads"",12],[""threads_batch"",8]]"
28,,,,0,3,"[[""flash_attention"",true],[""kv_type_key"",""q8_0""],[""kv_type_value"",""f16""],[""mlock"",false],[""mmap"",true],[""n_batch"",512],[""n_ctx"",4096],[""n_gpu_layers"",99],[""n_ubatch"",128],[""threads"",8],[""threads_batch"",8]]"
29,,,,0,3,"[[""flash_attention"",true],[""kv_type_key"",""q4_0""],[""kv_type_value"",""f16""],[""mlock"",false],[""mmap"",true],[""n_batch"",512],[""n_ctx"",4096],[""n_gpu_layers"",99],[""n_ubatch"",128],[""threads"",8],[""threads_batch"",8]]"
30,,,,0,3,"[[""flash_attention"",true],[""kv_type_key"",""f16""],[""kv_type_value"",""q8_0""],[""mlock"",false],[""mmap"",true],[""n_batch"",512],[""n_ctx"",4096],[""n_gpu_layers"",99],[""n_ubatch"",128],[""threads"",8],[""threads_batch"",8]]"
31,,,,0,3,"[[""flash_attention"",true],[""kv_type_key"",""f16""],[""kv_type_value"",""q4_0""],[""mlock"",false],[""mmap"",true],[""n_batch"",512],[""n_ctx"",4096],[""n_gpu_layers"",99],[""n_ubatch"",128],[""threads"",8],[""threads_batch"",8]]"
32,,,,0,3,"[[""flash_attention"",false],[""kv_type_key"",""f16""],[""kv_type_value"",""f16""],[""mlock"",false],[""mmap"",true],[""n_batch"",512],[""n_ctx"",4096],[""n_gpu_layers"",99],[""n_ubatch"",128],[""threads"",8],[""threads_batch"",8]]"
33,,,,0,3,"[[""flash_attention"",false],[""kv_type_key"",""f16""],[""kv_type_value"",""q8_0""],[""mlock"",false],[""mmap"",true],[""n_batch"",256],[""n_ctx"",4096],[""n_gpu_layers"",99],[""n_ubatch"",64],[""threads"",6],[""threads_batch"",6]]"
